分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 50, IPv6: 0, 最小延迟: 391 ms, 最高速率: 6.97 M/s, 平均速率: 3.79 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 42, IPv6: 0, 最小延迟: 58 ms, 最高速率: 66.24 M/s, 平均速率: 6.38 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 37, IPv6: 0, 最小延迟: 81 ms, 最高速率: 8.77 M/s, 平均速率: 4.50 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 589 ms, 最高速率: 5.47 M/s, 平均速率: 3.73 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 39, IPv6: 0, 最小延迟: 536 ms, 最高速率: 7.53 M/s, 平均速率: 3.59 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 3, IPv4: 41, IPv6: 0, 最小延迟: 58 ms, 最高速率: 62.12 M/s, 平均速率: 3.43 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 57, IPv6: 0, 最小延迟: 18 ms, 最高速率: 62.26 M/s, 平均速率: 15.70 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 53 ms, 最高速率: 67.46 M/s, 平均速率: 5.29 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 55, IPv6: 0, 最小延迟: 111 ms, 最高速率: 123.38 M/s, 平均速率: 48.23 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 558 ms, 最高速率: 7.86 M/s, 平均速率: 5.59 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 356 ms, 最高速率: 22.35 M/s, 平均速率: 8.52 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 122 ms, 最高速率: 109.36 M/s, 平均速率: 32.01 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 663 ms, 最高速率: 11.27 M/s, 平均速率: 4.70 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 414 ms, 最高速率: 7.57 M/s, 平均速率: 5.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 32, IPv6: 0, 最小延迟: 99 ms, 最高速率: 132.80 M/s, 平均速率: 49.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 298 ms, 最高速率: 76.96 M/s, 平均速率: 28.87 M/s, 最高分辨率: 3840x2160
